,jobDist,n,m,lowerBound,cost,time,timeToBestCost
277,centred,100,60,34285.0,35968,39.4000403881073,0.00099945068359375
278,centred,100,60,35240.0,38496,39.40139555931091,0.0
279,centred,100,60,35000.0,37407,39.40400838851929,0.0
280,discreteUniform,100,80,39500.0,39500,0.0,0.0
281,discreteUniform,100,80,39032.0,39032,0.0,0.0
282,discreteUniform,100,80,39569.0,39569,0.0,0.0
283,discreteUniform,100,80,39702.0,39702,0.0,0.0
284,discreteUniform,100,80,39180.0,39180,0.0,0.0
285,discreteUniform,100,80,39990.0,39990,0.0,0.0
286,discreteUniform,100,80,39794.0,39794,0.0,0.0
287,discreteUniform,100,80,39753.0,39753,0.0,0.0
288,discreteUniform,100,80,39574.0,39574,0.0,0.0
289,discreteUniform,100,80,39948.0,39948,0.0,0.0
290,largeJobs,100,80,41910.725,60552,39.40223693847656,0.0
291,largeJobs,100,80,42114.2375,62205,39.40582799911499,0.0
292,largeJobs,100,80,41199.3875,59178,39.4003210067749,0.0
293,largeJobs,100,80,41828.55,60653,39.4019660949707,0.0
294,largeJobs,100,80,41409.775,58261,39.40238928794861,0.0
295,largeJobs,100,80,41562.475,58698,39.400367975234985,0.0
296,largeJobs,100,80,42576.9375,62097,39.40646767616272,0.0
297,largeJobs,100,80,42701.05,62721,39.40188002586365,0.0
298,largeJobs,100,80,41809.5625,60311,39.404208183288574,0.0
299,largeJobs,100,80,41399.9375,60650,39.4073851108551,0.0
300,extremes,100,80,39999.0,39999,0.0,0.0
301,extremes,100,80,39966.0,39966,0.015694141387939453,0.015694141387939453
302,extremes,100,80,40000.0,40000,0.0,0.0
303,extremes,100,80,39861.0,39861,0.0,0.0
304,extremes,100,80,39995.0,39995,0.0,0.0
305,extremes,100,80,40000.0,40000,0.0,0.0
306,extremes,100,80,39994.0,39994,0.0,0.0
307,extremes,100,80,39954.0,39954,0.0,0.0
308,extremes,100,80,39977.0,39977,0.0,0.0
309,extremes,100,80,40000.0,40000,0.0,0.0
310,centred,100,80,34814.0,34814,0.0,0.0
311,centred,100,80,33306.0,33306,0.0,0.0
312,centred,100,80,32483.0,32483,0.0,0.0
313,centred,100,80,34160.0,34160,0.0,0.0
314,centred,100,80,34326.0,34326,0.0,0.0
315,centred,100,80,36860.0,36860,0.0,0.0
316,centred,100,80,36104.0,36104,0.0,0.0
317,centred,100,80,34961.0,34961,0.0,0.0
318,centred,100,80,33421.0,33421,0.0,0.0
319,centred,100,80,32974.0,32974,0.0,0.0
320,discreteUniform,1000,200,97434.655,97456,39.40489363670349,27.942251205444336
321,discreteUniform,1000,200,98763.795,98783,39.416625022888184,25.618120670318604
322,discreteUniform,1000,200,98550.725,98570,39.40086221694946,11.12711238861084
323,discreteUniform,1000,200,99105.295,99123,39.40098261833191,23.902169704437256
324,discreteUniform,1000,200,101304.66,101327,39.401615381240845,14.750301122665405
325,discreteUniform,1000,200,99877.945,99898,39.40597701072693,20.336883544921875
326,discreteUniform,1000,200,99176.55,99197,39.40033555030823,16.239431619644165
327,discreteUniform,1000,200,100463.88,100484,39.40043258666992,8.280273675918579
328,discreteUniform,1000,200,101025.93,101047,39.411184549331665,13.100360631942749
329,discreteUniform,1000,200,101467.525,101488,39.40031147003174,19.622734546661377
330,largeJobs,1000,200,166187.55,166194,39.402586698532104,21.87811017036438
331,largeJobs,1000,200,167166.825,167174,39.40102458000183,18.468117475509644
332,largeJobs,1000,200,166645.135,166652,39.40101599693298,16.64703631401062
333,largeJobs,1000,200,166835.93,166843,39.401134967803955,18.383113861083984
334,largeJobs,1000,200,166980.875,166988,39.40090823173523,19.242010831832886
335,largeJobs,1000,200,166812.4,166820,39.401026010513306,19.771146297454834
336,largeJobs,1000,200,166056.195,166064,39.40044140815735,24.000619173049927
337,largeJobs,1000,200,166223.585,166234,39.400999546051025,0.02569127082824707
338,largeJobs,1000,200,165728.02,165743,39.400970458984375,0.025703907012939453
339,largeJobs,1000,200,167607.405,167614,39.40101432800293,19.15803599357605
340,extremes,1000,200,99607.375,99624,39.40109944343567,30.682459831237793
341,extremes,1000,200,98714.915,98734,39.400954484939575,2.444660186767578
342,extremes,1000,200,99287.93,99304,39.40104413032532,9.230863571166992
343,extremes,1000,200,106716.09,106733,39.40199518203735,0.29760241508483887
344,extremes,1000,200,97283.27,97304,39.400015115737915,20.960535049438477
345,extremes,1000,200,100025.28,100045,39.401915073394775,1.238940715789795
346,extremes,1000,200,104594.195,104610,39.40104103088379,24.228235006332397
347,extremes,1000,200,99700.28,99717,39.40097713470459,9.178821086883545
348,extremes,1000,200,103284.745,103303,39.40101480484009,26.700685024261475
349,extremes,1000,200,98430.905,98450,39.40101385116577,19.050474643707275
350,centred,1000,200,100753.035,100765,39.40106248855591,16.795069217681885
351,centred,1000,200,99897.86,99911,39.40164136886597,9.100223302841187
352,centred,1000,200,100526.175,100539,39.40025734901428,23.90294885635376
353,centred,1000,200,98677.06,98691,39.406516551971436,19.493958950042725
354,centred,1000,200,99638.83,99651,39.40095329284668,18.264363527297974
355,centred,1000,200,100568.26,100581,39.40001583099365,12.709676504135132
356,centred,1000,200,99699.735,99713,39.40100026130676,13.307846307754517
357,centred,1000,200,98568.235,98580,39.41111373901367,6.6632609367370605
358,centred,1000,200,102047.775,102060,39.40045690536499,6.450105667114258
359,centred,1000,200,100967.575,100981,39.40406274795532,9.229801893234253
360,discreteUniform,1000,400,49476.7025,49617,39.40167021751404,16.67725968360901
361,discreteUniform,1000,400,49360.19,49468,39.40136933326721,15.565075874328613
362,discreteUniform,1000,400,50040.0425,50185,39.4010329246521,12.84036111831665
363,discreteUniform,1000,400,49481.4375,49621,39.401543378829956,14.350362062454224
364,discreteUniform,1000,400,48389.185,48490,39.400537967681885,30.99285626411438
365,discreteUniform,1000,400,51048.1875,51178,39.41518592834473,15.74890661239624
366,discreteUniform,1000,400,49330.5775,49452,39.40192008018494,19.912344932556152
367,discreteUniform,1000,400,48721.7525,48821,39.40135669708252,15.057393550872803
368,discreteUniform,1000,400,49480.73,49599,39.4010066986084,21.283170700073242
369,discreteUniform,1000,400,51379.8,51542,39.41327261924744,11.235437870025635
370,largeJobs,1000,400,82805.9925,92257,39.40094757080078,27.096652030944824
371,largeJobs,1000,400,83071.535,92270,39.400052309036255,29.73126459121704
372,largeJobs,1000,400,83457.2525,92899,39.401989459991455,23.75397276878357
373,largeJobs,1000,400,83213.55,93110,39.40103459358215,26.537275075912476
374,largeJobs,1000,400,83599.7775,93347,39.40094256401062,22.67836618423462
375,largeJobs,1000,400,83756.5375,93265,39.40102815628052,19.365498781204224
376,largeJobs,1000,400,83643.3675,93315,39.4009473323822,21.840540170669556
377,largeJobs,1000,400,83144.7075,92530,39.400031089782715,25.11453413963318
